project	taxid	date	study_type
PRJEB27431	4577	2018-06	EVA study
PRJEB27443	9913	2018-06	EVA study
PRJEB27452	4896	2018-06	EVA study
PRJEB27676	9483	2018-07	EVA study
PRJEB27771	9796	2018-07	EVA study
PRJEB27789	9615	2018-07	EVA study
PRJEB27824	9606	2018-07	EVA study
PRJEB27956	3821	2018-07	EVA study
PRJEB28064	2094558	2018-08	EVA study
PRJEB28236	4530	2018-08	EVA study
PRJEB28258	8030	2018-08	EVA study
PRJEB28260	44689	2018-08	EVA study
PRJEB28297	9606	2018-08	EVA study
PRJEB28302	4072	2018-08	EVA study
PRJEB28306	9796	2018-08	EVA study
PRJEB28344	10090	2018-08	EVA study
PRJEB28526	39947	2018-09	EVA study
PRJEB28530	5833	2018-09	EVA study
PRJEB28547	9606	2018-09	EVA study
PRJEB28557	9031	2018-09	EVA study
PRJEB28579	9823	2018-09	EVA study
PRJEB28591	3641	2018-09	EVA study
PRJEB28606	4265	2018-09	EVA study
PRJEB28702	9606	2018-09	EVA study
PRJEB28797	72036	2018-09	EVA study
PRJEB28835	391902	2018-09	EVA study
PRJEB28956	57486	2018-10	EVA study
PRJEB29080	46259	2018-10	EVA study
PRJEB29251	30523	2018-10	EVA study
PRJEB29344	9606	2018-10	EVA study
PRJEB29384	9940	2018-10	EVA study
PRJEB29523	9606	2018-11	EVA study
PRJEB29561	4565	2018-11	EVA study
PRJEB29597	9606	2018-11	EVA study
PRJEB29734	9913	2018-11	EVA study
PRJEB29974	9913	2018-11	EVA study
PRJEB29975	9823	2018-11	EVA study
PRJEB30080	9685	2018-12	EVA study
PRJEB30116	9796	2018-12	EVA study
PRJEB30122	9925	2018-12	EVA study
PRJEB30318	9685	2018-12	EVA study
PRJEB30460	9606	2018-12	EVA study
PRJEB30500	4565	2018-12	EVA study
PRJEB30506	8307	2018-12	EVA study
PRJEB30522	9915	2018-12	EVA study
PRJEB30825	415978	2019-01	EVA study
PRJEB30850	9615	2019-01	EVA study
PRJEB31123	9913	2019-02	EVA study
PRJEB31129	30538	2019-02	EVA study
PRJEB31170	9615	2019-02	EVA study
PRJEB31182	4565	2019-02	EVA study
PRJEB31218	4565	2019-02	EVA study
PRJEB31241	9940	2019-02	EVA study
PRJEB31315	9606	2019-02	EVA study
PRJEB31336	9940	2019-02	EVA study
PRJEB31370	9606	2019-02	EVA study
PRJEB31423	9796	2019-02	EVA study
PRJEB31574	9915	2019-03	EVA study
PRJEB31735	9606	2019-03	EVA study
PRJEB31785	9913	2019-03	EVA study
PRJEB31976	9615	2019-04	EVA study
PRJEB32049	9915	2019-04	EVA study
PRJEB32114	9606	2019-04	EVA study
PRJEB32182	9606	2019-04	EVA study
PRJEB32264	9606	2019-04	EVA study
PRJEB32310	9940	2019-04	EVA study
PRJEB32312	9925	2019-04	EVA study
PRJEB32462	9940	2019-05	EVA study
PRJEB32685	3847	2019-05	EVA study
PRJEB32686	9796	2019-05	EVA study
PRJEB32687	9615	2019-05	EVA study
PRJEB32689	9606	2019-05	EVA study
PRJEB32692	9925	2019-05	EVA study
PRJEB32735	4530	2019-05	EVA study
PRJEB32744	34506	2019-05	EVA study
PRJEB32845	9606	2019-05	EVA study
PRJEB32865	9615	2019-06	EVA study
PRJEB32975	30523	2019-06	EVA study
PRJEB33023	9913	2019-06	EVA study
PRJEB33060	9823	2019-06	EVA study
PRJEB33063	3885	2019-06	EVA study
PRJEB33073	9913	2019-06	EVA study
PRJEB33081	9913	2019-06	EVA study
PRJEB33094	3885	2019-06	EVA study
PRJEB33110	10116	2019-06	EVA study
PRJEB33111	9940	2019-06	EVA study
PRJEB33113	30521	2019-06	EVA study
PRJEB33136	9606	2019-06	EVA study
PRJEB33142	7070	2019-06	EVA study
PRJEB33252	9031	2019-06	EVA study
PRJEB33276	9606	2019-07	EVA study
PRJEB33472	4558	2019-07	EVA study
PRJEB33514	7425	2019-07	EVA study
PRJEB33648	9606	2019-07	EVA study
PRJEB33693	9940	2019-07	EVA study
PRJEB33704	2020318	2019-07	EVA study
PRJEB33712	9606	2019-07	EVA study
PRJEB33757	9796	2019-07	EVA study
PRJEB33864	9915	2019-08	EVA study
PRJEB33934	9925	2019-08	EVA study
PRJEB33969	9606	2019-08	EVA study
PRJEB34019	9940	2019-08	EVA study
PRJEB34082	72761	2019-08	EVA study
PRJEB34193	8128	2019-08	EVA study
PRJEB34208	10116	2019-08	EVA study
PRJEB34225	8030	2019-09	EVA study
PRJEB34274	869827	2019-09	EVA study
PRJEB34293	9940	2019-09	EVA study
PRJEB34294	52644	2019-09	EVA study
