project	taxid	date	study_type
PRJEB60508	10141	2023-03	EVA study
PRJEB60575	5855	2023-03	EVA study
PRJEB60906	9606	2023-03	EVA study
PRJEB60907	9606	2023-03	EVA study
PRJEB60909	9913	2023-03	EVA study
PRJEB60948	9606	2023-03	EVA study
PRJEB60949	9606	2023-03	EVA study
PRJEB61053	9606	2023-03	EVA study
PRJEB61055	9913	2023-03	EVA study
PRJEB61080	10090	2023-03	EVA study
PRJEB61081	264203	2023-03	EVA study
PRJEB61107	3641	2023-04	EVA study
PRJEB61195	108881	2023-04	EVA study
PRJEB61209	9606	2023-04	EVA study
PRJEB61260	9823	2023-04	EVA study
PRJEB61387	39442	2023-04	EVA study
PRJEB61407	9606	2023-04	EVA study
PRJEB61408	9940	2023-04	EVA study
PRJEB61514	9606	2023-04	EVA study
PRJEB61601	3712	2023-04	EVA study
PRJEB61663	4577	2023-04	EVA study
PRJEB61743	9606	2023-04	EVA study
PRJEB61781	9606	2023-05	EVA study
PRJEB61786	9606	2023-05	EVA study
PRJEB61878	30538	2023-05	EVA study
PRJEB61880	9606	2023-05	EVA study
PRJEB62099	9606	2023-05	EVA study
PRJEB62133	129364	2023-05	EVA study
PRJEB62157	3884	2023-05	EVA study
PRJEB62420	9615	2023-05	EVA study
PRJEB62432	4006	2023-05	EVA study
PRJEB62522	110835	2023-05	EVA study
PRJEB62681	4071	2023-05	EVA study
PRJEB62782	4513	2023-06	EVA study
PRJEB62846	9606	2023-06	EVA study
PRJEB63072	9606	2023-06	EVA study
PRJEB63147	9606	2023-06	EVA study
PRJEB63154	4236	2023-06	EVA study
PRJEB63191	3625	2023-06	EVA study
PRJEB63330	9615	2023-06	EVA study
PRJEB63376	9606	2023-06	EVA study
PRJEB63402	9685	2023-06	EVA study
PRJEB63626	9606	2023-06	EVA study
PRJEB63638	10116	2023-06	EVA study
PRJEB63644	665079	2023-06	EVA study
PRJEB64027	9606	2023-07	EVA study
PRJEB64213	4513	2023-07	EVA study
PRJEB64281	4577	2023-07	EVA study
PRJEB64325	38873	2023-07	EVA study
PRJEB64467	9606	2023-07	EVA study
PRJEB64885	9940	2023-08	EVA study
PRJEB65007	90735	2023-08	EVA study
PRJEB65017	9606	2023-08	EVA study
PRJEB65096	4232	2023-08	EVA study
PRJEB65578	9606	2023-08	EVA study
PRJEB65579	4530	2023-08	EVA study
PRJEB65581	9606	2023-08	EVA study
PRJEB65722	9606	2023-08	EVA study
PRJEB65760	9615	2023-09	EVA study
PRJEB65875	4513	2023-09	EVA study
PRJEB65949	5855	2023-09	EVA study
PRJEB66172	9606	2023-09	EVA study
PRJEB66286	9913	2023-09	EVA study
PRJEB66288	1133088	2023-09	EVA study
PRJEB66341	9913	2023-09	EVA study
PRJEB66443	217634	2023-09	EVA study
PRJEB67281	9915	2023-10	EVA study
PRJEB67343	34324	2023-10	EVA study
PRJEB67562	9685	2023-10	EVA study
PRJEB67630	9606	2023-10	EVA study
PRJEB67727	89462	2023-10	EVA study
PRJEB67728	4513	2023-10	EVA study
PRJEB67908	9940	2023-10	EVA study
PRJEB68332	9606	2023-11	EVA study
PRJEB69688	9606	2023-11	EVA study
PRJEB70024	9606	2023-11	EVA study
PRJEB70402	9606	2023-11	EVA study
PRJEB70403	9606	2023-11	EVA study
PRJEB70515	9615	2023-11	EVA study
PRJEB70773	4072	2023-11	EVA study
PRJEB70957	9606	2023-12	EVA study
PRJEB70960	9606	2023-12	EVA study
PRJEB70965	183844	2023-12	EVA study
PRJEB71339	9078	2023-12	EVA study
PRJEB71347	9031	2023-12	EVA study
PRJEB71638	9606	2024-01	EVA study
PRJEB71753	3641	2024-01	EVA study
PRJEB71833	9913	2024-01	EVA study
PRJEB72553	69109	2024-02	EVA study
PRJEB72639	4558	2024-02	EVA study
PRJEB72796	9606	2024-02	EVA study
PRJEB72805	4577	2024-02	EVA study
PRJEB72817	9685	2024-02	EVA study
PRJEB73349	9606	2024-02	EVA study
PRJEB73350	9716	2024-02	EVA study
PRJEB73790	3827	2024-03	EVA study
PRJEB73817	183821	2024-03	EVA study
PRJEB73845	9615	2024-03	EVA study
PRJEB74211	3663	2024-03	EVA study
PRJEB74317	7460	2024-03	EVA study
PRJEB74470	9606	2024-04	EVA study
PRJEB74481	158451	2024-04	EVA study
PRJEB74512	9606	2024-04	EVA study
PRJEB74769	9031	2024-04	EVA study
PRJEB74924	9606	2024-04	EVA study
PRJEB74935	4558	2024-04	EVA study
PRJEB75222	3847	2024-04	EVA study
PRJEB75238	9915	2024-04	EVA study
PRJEB60875	210581	2023-03	EVA study
PRJEB69292	9031	2023-11	EVA study
PRJEB74477	9913	2024-04	EVA study
PRJEB74565	9913	2024-04	EVA study
PRJEB75654	9606	2024-05	EVA study
PRJEB75736	9606	2024-05	EVA study
PRJEB75934	160488	2024-05	EVA study
PRJEB75966	3847	2024-05	EVA study
PRJEB75981	9913	2024-05	EVA study
